Description,Date,Attende,Location,Project,Access,Agenda Type,Category,Duration,Meet Type,Notes,Project Link
Artistic Meeting - Alignment Concept Design & Art,"3/26/2025, 3:00:00 PM",,Google Meet,Foufo,"bod,team,partner,crew",Meeting,Pre Production,2 Jam,Online,"Attendees:

Mas Ricky
Mas Mahes
Mba Rini
Mai Hoeizon Art)
Mas Fadel (Designer)
Tam Tam (Mockup)
Gio (Production)
Anggra

_____________________________________

Pembahasan : 
Membahas teknis ufo untuk keperluan mockup

DESIGN UFO PERTAMA

1 design utama untuk 3 bentuk ufo

tam tam dan produksi : 
- warna chrome (silver/metalic) berat untuk
- pengerjaanya dan tingkat refleksinya cukup tinggi seperti kaca
- base dumnya stengah lingkaran aja untuk mempercepat produksi 
- problem teknis hidrolic ada dibelakang, punya kekuatan, pegangan hidrolic harus ada pegangannya 
lampu hijau dari design sebelumnya nanti ikut ke dumnya
- bangkunya diadjust untuk bisa pakai knock down karena kalau pake rel akan sulit teknisnya
- lighting dan lampu knalpot secara teknis shooting harus pake 22volt dan harus pake kabel, apakah bisa diadjut dari design atau diadjust saat post pro?
- belakang dom ada engsel
- grey muda, tua, abu abu (warna nanti akan discuss saat PPM)
- dumnya harus knock down biar bisa lepas pasang dan memudahkan shooting
- bagian bawah aman bisa di eksekusi
lampu nanti pake aki
- monitor nanti pake screen aja, green/blue nanti diskusikan dengan CGI

fadel : 
- material body metalic dove/glossy dan grey
- warna grey dove, grey glossy, metalic dove, metalic glossy
- led warnanya ada 2 : list hijau dan pink

mas bayu : 
- teknis bisa diadjust namun tanpa lari dari look

DESIGN KEDUA - BONGKARAN

produksi :
- kanan kirinya diknock down (4 part, untuk sayap pesawat 1 dan 2)
- masalahnya ufo gak muat di toing jadi harus bisa dilepas pasang (knock down)

mas bayu : 
- opsi lain, scene yang ada ufonya akan dilakukan di daerah sekitar jakarta aja

DESIGN KETIGA - YANG SUDAH DIRENOVASI KELUARGA MUSLIM

- akan ada 2 bentuk kaca dom, 1 yang rusak agar tangan kacong bisa masuk, 1 untuk ending yang rapat kacanya (tapi dengan kaca yang sama)
- bentukannya akan dibuat mockup aja bukan barang real termasuk pipa karena nanti bebannya akan berat banget, dibuat seringan mungkin, yang besi hanya untuk rigging aja
- plat nomornya akan disesuaikan dari lokasinya
- kursinya dibuat satu aja yang belakangnya dan ada sit belt
- designnya di-aging  aja

CTA : 
- mungkin nanti nextstep bisa preview, design/mockup yang sudah di adjust tim art 
- pastikan semua ukuran dari ufo, mau bagian dalam ataupun luar
- buat meeting pertemuan tim art dan selis untuk mejelaskan secara teknis 
- double confirm untuk warna jam ke CGI

Minutes by,
Ang.
",
Development Meeting - Co Director 1st meet,"3/26/2025, 7:00:00 PM",,Skak Studios,Foufo,"bod,team,partner",Meeting,IP Development,2 Jam 30 Menit,"Online,Offline","Attendees : 
Mas Bayu
Mas Ricky (Online)
Mas Rofiq (Online)
Dono (Online)
Ichol
Bangkit
Ibot
Dul
Ang

Pembahasan : 
- Masukan dari mas dono agar komedi ceritanya kuat
- Bahasa 10% bahasa jawa, 30% madura, 60% indonesia
- Target internal 13+, cerita bisa disesuaikan
- Disepakati bahasa yang dipakai : 
   Muslim ke Keluarga : ngomong madura
   Muslim ke teman  : bahasa jawa logat madura
- Jokesnya dijaga agar tidak menyenggol budaya dan agama, apalagi kita ada unsur science jadi jangan sampai bentrok dengan agama


Dono : 
- Penempatan dialog, disesuaikan karena belum berasa seprti gayanya film Mas Bayu
- Dibangun dulu bonding antara Muslim dan alien agar tidak membuat audiens merasa tidak terlalu cepat akrabnya
- Scene 6 : tambahin hadiah random diacara mat saleh
- Ipul panggil Msulim “cak” aja biar lebih madura
Scene 7 : langsung masukin punchline jokes lucu aja di scene-scene awal

Bayu : 
- Untuk memudahkan shooting hilangkan lokasi TPA karena membahayakan
- Sedang diupayakan mencari junkyard untuk opsi, mangkannya tentukan perongsok atau pengepul (keputusannya tunggu info dari orang lokasi terkait adanya junkyard atau tidak)
- Opsi cenenya dibuat montage aja
- Usulan dari mas bayu momen bonding dimulai pas setelah sholat
- Tulisan masih lemah dari aksi reaksinya
- Teknis pengambilan gambar rumah Mat Saleh agak sulit terkait lokasi, jadi akali aja dari penulisan

Rofiq : 
- Pilih aja sampahnya sampah apa
- Opening film harus megah untuk mempertegas alam semesta ini
- Dramatik film foufo : harus dibangun scene by scene agar membangun karakter Muslim

CTA : 
- Meeting offline untuk merapikan draft 3 jam 13.00 WIB : Penulis dan Director team.

Minutes by,
Ang.",
Meeting TIX dan Sinemart,"3/26/2025, 11:00:00 PM","Bayu,Danial",SCTV Tower,Foufo,"bod,partner",Meeting,Business Development,2 Jam,Offline,"MOM meeting TIX dan Sinemart

- Invesment TIX.ID sebagai strong point di Marketing base (with tools and big data Audience)
- Marketing Activity handle with TIX.ID (plan)
- Target November 2025 tayang
- ATS tools saat launching film Wajib!
- bu lilik pernah ngobrol dengan Xspace untuk iklan di KRL, space untuk iklan (direct sales to aplication)
- data pemilihan pembayaran bisa terlihat (audience menggunakan aplikasi apa untuk beli tiket)
- sency tidak mau menayangkan film indonesia 
- ATS dengan skema B1G3 untuk 2hr (TBC)
- Promo untuk War Ticket B1G3 (terbatas)
- marketing dengan menampilkan rate/genre dibuat ""semua umur"" atau ""13+""
- Hari pertama 50.000 views adalah advantage dari penonton semua film
- Trailer keluar harus mulai membuka aktifitas pembelian ticket
- durasi mempengaruhi jumlah show atau minat penonton dengan lama/sebentar saat nonton (100-120menit)",
2nd Pre-Production Meeting,"4/7/2025, 1:00:00 PM",,Skak Studios dan Google Meet,Foufo,"bod,team,partner,crew",Meeting,Pre Production,5 Jam,Online,"Attendees :
Producer
Director
Production
All HOD

PEMBAHASAN

Director Treatment :
- SC Opening; Efek ledakan UFO jatuh menggunakan lighting untuk ambiance/impact ke object, dan efek kejut (ledakan, angin, debu) TBD dengan tim SFX

DOP Treatment :
- Untuk set outdoor menggunakan asap untuk ngangkat intensitas lighting (ke tim Art)

Artistic Treatment :
- Director : untuk toko madura disediakan bangku didepannya
- Ruang tengah dikasih lukisan kabah
- Kamar Rumah Muslim : Opsi C di tambahin kasur lipat
- Ext Lapak Muslim : Kardus dan Besi untuk isian artnya
- Lapak Pop Ice : Diganti nama jadi Lapak Jus karena berkaitan dengan brand beserta isiannya
- Key Props Keluarga Muslim :  Gadget dari sponsor (Advan)
- Motor Ipul : Di aging
- Keris ""Warisan"" Keluarga Muslim : Keris khas Sumenep
- Mobil Pick Up : Option 1, dengan di aging
- Tasyakuran Haji : Tidak dilakukan dipelataran rumah, melainkan dijalanan atau di balai 
- Partikel Bangkai Pesawat & Tank : Mock Up
- Mock Up Rudal 3 Butir
- Lorong Rumah Sakit dibikin di lokasi sekolahan

Wardrobe 
- Baju strip merah putih untuk muslim untuk beberapa scene khusus 
- Tambahan periasan emas untuk warga sekitar rumah saikonah
- Untuk nur menggukana kerudung ala madura 
- Untuk hanya menggunakan selendang 
- Mukena saikonah berwarna putih 
- Daster yang di pakai oleh siti daster lengan Panjang 
- Baju rahmat semua kutungan 

Make Up 
- Kumis Muslim seperti yag di reference sebelah kanan
- Rahmat ingusan yang di buat tidak terlalu basah 

Location Department :
- Rumah, Lapak dan Sawah akan berada di Jakarta
- Untuk lapak akan menyesuaikan panjang dan lebarnya UFO
- Lapak Mat Saleh akan berada di Surabaya (inc set tasyakuran)
- Cari rumah Muslim yang sailing tinggi dengan ukuran lapak 5 x 12 
- Follow up SMPN 1 Surabaya dan Info seragamnya 

Casting Department :
- Untuk deck perlu di perbaiki dengan keterangan per-talentnya sudah lock secara budget dan schedule dengan persedutuan dari director 
- Tim casting secara parallel akan casting dengan menggunakan video 
- Open casting di tanggal 20 dan akan di present 21 April (3rd PPM)

Produksi :
- karena pembuatan ufo memakan waktu 45 hari, kita harus kasih limit ke tim Selis untuk kepastiannya seperti apa, maksimal pengambilan keputusan di tanggal 10 (take it or leave it), kalaupun Selis masih mau tetap berkontribusi alangkah lebih baik ke pendanaan saja.
- kalau selis kasih kabar tanggal 10, svhedule shooting mundur 3 hari, idealnya selis kasih kabar besok (8 April 2025)

CGI :
- CGI menyanggupi design foufo seperti design awal
- akan ada test percobaan dengan stand in talent untuk kepentingan CGI dan filenya akan dikirim ke hompimpa (helm dan kostum) untuk ditest (opsi tanggal 8-10 mei), test kameranya harus pakai kamera yang akan dipakai saat shooting, opsi pertama test cam di rental atau opsi kedua test cam di kantor tapi pakai kamera shooting dari tim dop tapi gratis (tangal 9 mei)
- timecode diperlukan untuk diregging ke wajah talent foufo (kamera gopro)
- test prostetc dan helm tanggal 9 mei.
- butuh cetak tangan mas bambang 3 minggu sebelum test cam kebutuhan helm dan prosthetic

Timeline : 
- Main talent lock di tanggal 18 April 2025 
- Update ufo (sekoci) di tanggal 20 Mei 2025 
- Make up & fitting dengan camera departemen di 9 mai 2025 
- Test camera di agendakan setelah tanggal 20 Mei setelah ada update dari produksi sekoci ufo
- Request meeting CGI, meeting post dengan tim directing",
Meeting Location with Director Team,"4/9/2025, 1:00:00 PM",,Skak Studios,Foufo,"bod,team,partner,crew",Meeting,Pre Production,2 jam 30 menit,"Online,Offline","Attendees :
Director Team
Produksi
Art Director

PEMBAHASAN
 
- Lapak orang lain pakai yang lebih besar / lapak Pak Buyung (pakai yang beda gang sama rumah Muslim) + warung Madura disampingnya 

- Realnya tempat ini jual besi tua, ditambahin besi besi buat nutupin plastic plastik (biar lebih dominan)

- Opsi lokasi rumah Narogong/rumah yang tidak ada mobil (rumah dan lapak Muslim) harus diberesin plastik plastiknya diganti sama besi besi, towing untuk bawa Ufo bisa masuk 

- Opsi rumah Muslim (yang ada jangkrik dan mobil) perlu dikonfirmasi ulang untuk dirombak full karena itu set utama

- Lapak dan rumah muslim pindah ke daerah Cileungsi 

- Dicari 1 opsi lagi untuk pemukiman (set lapak dan rumah Muslim)

- Set sawah cari lagi opsi (jangan daerah Bogor)

- Opsi set sawah area Bogor:
Ada spot yang sudah tidak produktif tapi keliatan nya seperti semak semak biasa, 
Di dekat persawahan ini ada musholla juga (musholla yang ada di area ini masuk kriteria)

- Opsi set sawah yang di Bekasi, dari yang udah diliat semua nya ada sungai disampingnya, kurang logis jika harus bawa ufo terus lewatin sungai tersebut

- Setelah ada tambahan satu opsi dari set sawah, set lapak, set rumah Muslim langsung akan di visit oleh mas Bayu dan tim kecil untuk survey lokasi 

- Untuk opsi Studio cek studio karnos dan elang, kriteria pemilihan berdasarkan Harga dulu (make sure studio bisa untuk workshop Ufo diatas Todano disekitaran studio)

- Opsi yang area Pancoran kurang masuk kriteria 

- Location Visit Surabaya :

	•	Lapak Mat Saleh 
	•	SMP 1 Surabaya 
	•	Lapangan sampah (Osowilangun)
	•	Area perkampungan rumah Muslim tetap divisit
	•	Untuk set tasyakuran harus di Surabaya, berkaitan dengan extras yang harus berbahasa madura 
	•	Bank Mandiri - Magorejo 
	•	Pantai dengan pohon dengan background jembatan Suramadu
	•	Jalanan kota Surabaya 

Artistic Note :

- Besi besi panjang berlubang dibuat mockup dan yang tidak ada lubangnya juga dibikin mockup 

Astrada Note :

- Dicicil untuk itinerary scouting, berkaitan dengan pemesanan hotel (dari mas Bayu cukup 2 hari di Surabaya)


Produksi Note :

- Scouting prefer di Jakarta dulu (dengan pembagian 2 hari Jakarta dan 2 hari Surabaya)

Director Note :

- Kalau ada opsi tambahan lagi, mas Bayu akan visit sebelum scouting

Minutes by,
PA.",
Development Meeting - Story Alignment & Comedy,"4/11/2025, 6:00:00 PM",,SKAK Studios,Foufo,"bod,team,partner",Meeting,IP Development,4 jam,Offline,"Attendees :
Producer
Director
Co Director
Asst Director 2
Writer
Writer Team",
Pembuatan Fat Suit Alien,"4/15/2025, 1:00:00 PM",,"PT. Sari Rambut - Wig Production - Abuan, Susut, Bangli Regency, Bali ",Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"Pembuatan Fat Suit untuk Alien, Tim Wardrobe dan Bambang Ceper sebagai stand in actor Alien Foufo ke Bali untuk melakukan pencetakan badan.",
Scouting Day 1 - Jakarta,"4/14/2025, 8:00:00 PM",,Jakarta,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"DIRECTOR : BAYU SKAK 
LP : RINI ATMODJO
PH : SKAK STUDIOS

CALL TIME FOR SCOUTING LOCATION - JAKARTA
DATE : 14 APRIL 2025
TIME : 08.00 WIB on 1st Location

PARTICIPANT :
1. Line Producer
2. Director
  3. 1st AD
4. DOP
5. ⁠Gaffer 
6. Art Director
7. Art Asst
8. Sound Recorder
9. ⁠⁠⁠Location Team
10. ⁠⁠⁠UPM

1. Opsi Rumah Cileungsi
📍https://maps.app.goo.gl/qY8ofuGg89wH7v9Z8?g_st=iw

BREAK LUNCH

2. Opsi Sawah - Klapanunggal
📍https://maps.app.goo.gl/Z2Kbj7qEcpdubtcZ9

3. ⁠Opsi Mushala - Klapanunggal
📍 https://maps.app.goo.gl/VKkqfAYfnBWbGeuWA
",
"Live Cast Prosthetic, Helm & Wristband Sizing","4/16/2025, 10:00:00 PM",,"Jln Jatiwaringin Raya, Gang Damai 3 No 10 RT 8/15 Kel. Pondok Gede Kec. Jatiwaringin 
Kab. Bekasi ",Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"TALENT 
Bambang Ceper As FOUFO 
Taufik Asst Bambang 

Participant 
- Make Up Team 
- Talco Team 
- Art Team 
- Production Team 
- Bts Skak's Team",
Scouting Day 2 - Surabaya,"4/16/2025, 8:30:00 AM",,Surabaya,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,,"PARTICIPANT 
1. Rini Atmodjo (Line Producer)
2. Bayu Skak (Director)
3. Robert Cauble (DOP)
4. Maiharizon (Art Director)
5. Hasanudin Bugo (Sound recorder)
6. Yudhis Purwanto (Assistant Director 1)
7. Andre Buluk (UPM)
8. Rahadian (Location Manager)

RUTE
1. Set : Lapak Luas - Bangong tambangan 
PPCW+P29 Ngagel, Surabaya, Jawa Timur
📍https://maps.app.goo.gl/9LEoNdqhKipBeydb6

2. Set : Sekolah dan Lorong Rumah Sakit - SMPN 1 Surabaya 
Jl. Pacar No.4, RW.6, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272
📍https://maps.app.goo.gl/9LGC3tLgXPWt8gZy9?g_st=com.google.maps.preview.copy

(BREAK LUNCH)

3. Set : Jalanan Kota - Jalan Kota Lama Surabaya 
Jl. Rajawali Jl. Jembatan Merah, Kota Lama, Kec. Krembangan, Surabaya, Jawa Timur
📍https://maps.app.goo.gl/YsRPVJNiupzQciAN7

4. Set : Pantai - Pantai Kedung cowek (Opsi 1) 
Kedung Cowek, Kec. Bulak, Surabaya, Jawa Timur 60125
📍https://maps.app.goo.gl/MxvbZ4zNaoGNmJ1m8?g_st=com.google.maps.preview.copy

5. Set : Pantai - Pantai Kanjeran Lama (Opsi 2) 
Jl. Pantai Kenjeran No.1-6, Kenjeran, Kec. Bulak, Surabaya, Jawa Timur 60123
📍https://maps.app.goo.gl/LcyRbJ7mNb2pVqvb6",
Scouting Day 3 - Surabaya,"4/17/2025, 8:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"PARTICIPANT 
1. Rini Atmodjo (Line Producer)
2. Bayu Skak (Director)
3. Robert Cauble (DOP)
4. Maiharizon (Art Director)
5. Hasanudin Bugo (Sound recorder)
6. Yudhis Purwanto (Assistant Director 1)
7. Andre Buluk (UPM)
8. Rahadian (Location Manager)

RUTE 
1. Set : Lapangan Rongsok - Osowalingun 
Address : QMJ6+QFP, Tambak Osowilangun, Kec. Benowo, Surabaya, Jawa Timur 60191
📍https://maps.app.goo.gl/xQ9s65qZRc2wNT4f9

2. Set : Bank - Bank Mandiri Margorejo 
Address : Jl. Margorejo Indah No.131 - 132 Kav. A, Margorejo, Kec. Wonocolo, Surabaya, Jawa Timur 60238
📍https://maps.app.goo.gl/L6JKUrxpx6w1hK1N6",
Development Meeting - Alignment Comedy with Tretan Muslim,"4/18/2025, 5:00:00 PM",,SKAK Studios,Foufo,"bod,team,partner",Meeting,IP Development,2 jam,Offline,,
Preparation Open Casting - Kaza Mall Surabaya,"4/19/2025, 3:00:00 PM",,Kaza Mall Surabaya,Foufo,"bod,team,partner",Meeting,Pre Production,,,,
Open Casting Foufo - Kazza Mall Surabaya,"4/20/2025, 8:00:00 PM",,Kazza Mall Surabaya,Foufo,"bod,team,partner,crew",Meeting,Promo,9 Jam,Offline,"OPEN CASTING FOUFO 2025

Pendaftaran Online
Total Pendaftar online : 2.000 Peserta
Pendaftar online yang lolos : 943 peserta
________________________

Audisi Offline di Kazza
Pendaftar online yang melakukan registrasi ulang : 502 Peserta
Pendaftar OTS : 372 Peserta
Jumlah peserta offline (gabungan) : 874 Peserta
________________________

Total Keseluruhan Pendaftar Online dan Offline :
2.372 Peserta

",
Meeting Design Bibble Film Foufo,"4/24/2025, 2:00:00 PM",,Kantor Skak Studios,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,Membahas design untuk kebutuhan Bibble Film Foufo.,
Meeting Shotlist,"4/22/2025, 8:00:00 AM",,Kantor Skak Studios,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"Meeting Shotlist 3 Hari :
22, 23, 24 April 2025

Pembahasan teknis pengambilan gambar per-scene.
",
Update Pengerjaan Rumah Muslim,"4/24/2025, 8:00:00 PM",,Lokasi Rumah Muslim,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,Update pengerjaan rumah muslim setelah di-redisgn.,
Creative Meeting karakter FOUFO,"4/26/2025, 2:13:00 PM",Bayu,Kantor SKAK Studios,Foufo,"bod,team,partner,crew",Meeting,Production,1 jam,Online,"Yang akan di adjust ukuran helm nya
Kepala ufo harus cocok dengan kepala aktor (bambang ceper)
Adjustment ukuran kepala dari team hompimpa
Domnya akan ditambahin bagian bawahnya dan atasnya di adjustment",
Progress Pembuatan Ufo - 1,"4/26/2025, 5:55:00 PM",,Bekasi,Foufo,"bod,team,partner,crew",Meeting,Pre Production,8 jam,Offline,Proses pengerjaan dome UFO,
Recce Day 2 - Jakarta,"4/28/2025, 7:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"PARTICIPANT 
- PRODUCTION TEAM 
- DIRECTING TEAM 
- CAMERA & LIGHTING TEAM 
- SOUND TEAM 
- LOCATION TEAM 
- CGI 

RUTE
1. Lapak Muslim - Ciluengsi
Address : Gg. Abah Eman, Pasir Angin, Kec. Cileungsi.
📍https://maps.app.goo.gl/ie147f8Knu5PJZKV8

2. Lapak Lain - Cileungsi 
Address : Gg. Abah Eman, Pasir Angin, Kec. Cileungsi.
📍https://maps.app.goo.gl/ie147f8Knu5PJZKV8

3. Kampung - Cileungsi 
Address : Gg. Abah Eman, Pasir Angin, Kec. Cileungsi.
📍https://maps.app.goo.gl/ie147f8Knu5PJZKV8

4. Warung Madura - Toko Pak Buyung 
Address : Gg. Abah Eman, Pasir Angin, Kec. Cileungsi.
📍https://maps.app.goo.gl/ie147f8Knu5PJZKV8
",
Recce Day 1 - Jakarta,"4/27/2025, 8:00:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"PARTICIPANT 
- PRODUCTION TEAM 
- DIRECTING TEAM 
- CAMERA & LIGHTING TEAM 
- SOUND TEAM 
- LOCATION TEAM 
- CGI 
- POST TEAM 

RUTE 
1. Rumah Muslim - Ciluengsi
Address : Gg. Abah Eman, Pasir Angin, Kec. Cileungsi.
📍https://maps.app.goo.gl/ie147f8Knu5PJZKV8

2. Sawah - 
Address : Bojong, Kec. Klapanunggal.
📍https://maps.app.goo.gl/pJ7V1auiKYULK9Vd7
",
Meeting CGI & Post Production,"5/1/2025, 10:00:00 AM",,Kantor Hompimp,Foufo,team,Meeting,Pre Production,0,Offline,-,
Coba 12,"5/2/2025, 10:22:00 PM",,-,,"bod,team",Schedule,,,,-,
Recce Day 3 - Surabaya,"4/29/2025, 9:30:00 AM",,Surabaya,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"PARTICIPANT 
- PRODUCTION TEAM 
- DIRECTING TEAM 
- CAMERA & LIGHTING TEAM 
- ART TEAM
- SOUND TEAM 
- LOCATION TEAM 
- CGI 

RUTE 
1. Lapak Mat Saleh - 
Address : Jl. Bagong Tambangan, Ngagel, Kec. Wonokromo, Surabaya.
📍https://maps.app.goo.gl/CyAYYiqY48b77Pue6

2. Jalanan - Jalanan Kota Lama 
Address :Sekarbungu, Sukolilo Barat, Kec. Labang, Kabupaten Bangkalan.
📍https://maps.app.goo.gl/gTd2dY3aCW8kp6BW8

3. Pantai Pasir Madura - Pantai Pasir 
Address : Sekarbungu, Sukolilo Barat, Kec. Labang, Kabupaten Bangkalan.
📍https://maps.app.goo.gl/oo9ezN1ELSxS3DUGA

4. Pantai Suramadu - kedung cowek 
Address :Kedung Cowek, Kec. Bulak, Surabaya.
 📍https://maps.app.goo.gl/mmvxHpCzTPGZNy6N7",
Recce Day 4 - Surabaya,"4/30/2025, 8:00:00 AM",,Surabaya,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"PARTICIPANT 
- PRODUCTION TEAM 
- DIRECTING TEAM 
- CAMERA & LIGHTING TEAM 
- SOUND TEAM 
- ART TEAM
- LOCATION TEAM 
- CGI 

RUTE 
1. LAPANGAN RONGSOK - 
Address :Tambak Osowilangun, Surabaya.
📍https://maps.app.goo.gl/WUnUBHKLaV6s5h2C9

2. SMP - SMPN 1 SURABAYA
Address : Jl. Pacar No.4, RW.6, Ketabang, Kec. Genteng, Surabaya.
📍https://maps.app.goo.gl/TF3NDSJZHUiwpbDx6

3. BANK - BANK MANDIRI MARGOREJO 
Address : Jl. Margorejo Indah No.131 - 132 Kav. A, Margorejo, Kec. Wonocolo, Surabaya.
📍https://maps.app.goo.gl/uF1DwbWCjKdS6gVs6

4. Pantai Suramadu - kedung cowek 
Address :Kedung Cowek, Kec. Bulak, Surabaya.
 📍https://maps.app.goo.gl/mmvxHpCzTPGZNy6N7",
Reading Day 1 ,"5/2/2025, 1:00:00 PM",,Akardia Recident,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"PARTICIPANT
- Director 
- Co - Director 
- Asst Director Team 
- Castdir 
- Talent Coordinator Team 
- Production Team 
- Dialeg Coach
- Skak Bts Team 
- Script Writer 

TALENT
- Bambang Ceper As Foufo
- Ngatimah As Saiqonah 
- Hendra Cipta As Latif 
- Fuad Sasmita As Ipul 
- Hari Otong As Kacong 
- Aggun Dwi Lestari As Siti 
- Mieke Sahir As Nur 
- Ina Ponggang As Aqeela
- M. Rifqi As Mustofa 
- Adie Biebier As Toni / Dubber Ufo",
Fitting Fat Suit - Bali,"5/7/2025, 9:00:00 AM",,,Foufo,"bod,team,intern,partner",Meeting,Pre Production,,Offline,,
Finishing Tangan Alien,"5/7/2025, 4:00:00 PM",,,Foufo,"bod,team,intern,partner",Meeting,Pre Production,,Offline,Colouring & Detailing,
Perjalanan Wisata (Piknik) Keluarga Foufo ,"5/8/2025, 7:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"Keluarga Muslim (Foufo) jalan-jalan bersama, piknik dan visit ke kantor Ekraf.",
Meeting Continuity ,"5/8/2025, 1:30:00 PM",,Skak Studios,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,,"PARTICIPANT :

- Asst Director Team 
- Wardrobe Team 
- Make up Team 
- Script Continuity Team 
- Art Team 
- Production Team",
Reading Day 2,"5/3/2025, 10:00:00 AM",,Akardia Recident,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"PARTICIPANT
- Director 
- Co - Director 
- Asst Director Team 
- Castdir 
- Talent Coordinator Team 
- Production Team 
- Dialeg Coach
- Skak Bts Team 
- Script Writer 

TALENT
- Bambang Ceper As Foufo
- Tretan Muslim As Muslim
- Hendra Cipta As Latif 
- Fuad Sasmita As Ipul 
- Aggun Dwi Lestari As Siti 
- Mieke Sahir As Nur 
- Ina Ponggang As Aqeela
- M. Rifqi As Mustofa 
- Bayu Skak As Joko 
- Hari Otong As Kacong 
- Adie Biebier As Toni / Dubber Ufo",
Reading Day 3,"5/4/2025, 10:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
Reading Day 4,"5/5/2025, 10:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,,,
Reading Day 5,"5/6/2025, 10:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
Reading Day 6,"5/7/2025, 10:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,,,
Reading Day 7,"5/9/2025, 10:00:00 AM",,Atcadia Apartment,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
Reading Day 8,"5/11/2025, 10:00:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
Reading Day 9,"5/13/2025, 10:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
Progress Pembuatan Ufo - 2,"4/28/2025, 4:00:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,,,
Progress Pembuatan Ufo - 3,"5/10/2025, 4:00:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
Progress Pembuatan Ufo - 4,"5/14/2025, 4:00:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
Progress Pembuatan Ufo - 5,"5/15/2025, 4:00:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
"Fitting, Test Make Up & Photo Props","5/12/2025, 8:00:00 AM",,"Jl. Galindra No.1A, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720",Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"PARTICIPANT
- Asst Director Team 
- Castdir 
- Talent Coordinator Team 
- Skak Bts Team 
- Art Team 
- Wardrobe Team 
- Make Up Team 
- Production Team 

TALENT
- Tretan Muslim As Muslim
- Bambang Ceper As Foufo 
- Ngatimah As Saiqonah 
- Hendra Cipta As Latif 
- Fuad Sasmita As Ipul 
- Aggun Dwi Lestari As Siti 
- Mieke Sahir As Nur 
- Ina Ponggang As Aqeela
- M. Rifqi As Mustofa 
- Hari Otong As Kacong 
- Radeya Shakeel As Rahmad",
Test Cam,"5/16/2025, 8:00:00 AM",,"Jalan Daan Mogot Km.17,4 No.10B, RT.1/RW.8, Kalideres, Kec. Kalideres, Kota Jakarta Barat",Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
